,Correlation
DHCR24,-0.026982180940566692
EPHX1,0.01743548917529669
GAS6,-0.01877328047643711
CXCL16,0.009640741749898563
SLC25A23,0.021534781029283235
C3,-0.016517073586987594
SERPING1,0.021564776288183308
RNASE1,0.01743101988234497
PLAAT3,0.018882063680404463
PLAAT4,0.00802858689916824
SNCG,0.008031636712351286
SUSD3,0.015250725934520825
BST2,0.030692221978282887
CDKN2A,0.024304322030489635
IFI6,0.04365217779101248
IFI27,0.03126814262309296
ISG15,0.032048685141981455
LY6E,0.018002271539777452
IFITM1,0.03653404031082648
IFITM3,0.0459601592170646
ITGB8,-0.03946920272252926
SCRN1,-0.019745025670901535
PAM,-9.077077200294814e-05
WLS,0.003134556869841851
MARCKSL1,0.03625790234848901
MFAP2,0.037273073631927785
MECOM,0.012411907351244374
ARNT2,-0.01329380240094359
NOTCH3,0.015846894839286592
VANGL2,-0.004098061722406517
FMOD,-0.010388956809978684
PRELP,-0.0028721519039829556
PODXL,-0.024898592493109
CYBRD1,-0.030984588946867685
NFIX,-0.0029131494973454373
RHOU,0.010371927266271602
FAM171A1,0.03958146468892885
FGFR2,0.013658854754058711
LRIG1,-0.008720509496290003
SPON1,-0.015561258290195692
PLTP,0.02857407189494291
ADAMTS1,-0.007288150835655682
IL1R1,-0.001012536392691154
SDC3,0.012160224083929973
SYNPO,-0.004679673499274497
ITGB5,0.008693998652287975
TJP1,0.016588739781614733
PARVA,-0.029512746767676304
TEAD1,-0.04563194555213029
LAMC1,0.003081746189547146
WWTR1,0.006968923854381495
PTPRU,-0.02643454994634812
AMOTL2,-0.01754127141908721
KIAA1217,-0.004886901600724958
LAMB2,-0.0005069349087178408
COL18A1,0.012297129305085005
AGRN,0.0035688334413084954
LAMA5,-0.004293243816654851
SCD5,0.004343617865520311
ID4,-0.0015615920730127845
ENPP5,0.0025020121580191213
BHLHE41,-0.017093781955897995
SCNN1A,-0.006920816986253125
HSD17B14,0.03140650368448246
IGFBP2,0.026306953920120307
PSAT1,0.06408590456962246
AIF1L,0.0044959791591988995
GPRC5B,-0.0006251122971168384
BCAM,0.016305036573049585
NECTIN2,0.017344366820730508
CCDC8,0.030155824277140225
TEAD2,-0.014539231660557544
MDK,0.04401630275487041
CTXN1,0.04067890072605642
PTMS,0.04641924410025311
CTSF,0.014786869362141243
SHISA4,0.0031010673846821567
NRSN2,0.023163956963682612
PFN2,-0.00029642245674265944
CRYAB,0.012773617065642472
GPX3,-0.005011391456567289
SLC1A3,-0.027863560159712072
TNFAIP2,-0.025259553136901553
CCL2,-0.013487996575489365
CEBPD,0.021104030499711438
MTRNR2L12,0.058015133962190955
ACY3,0.006860658151684258
HMGA1,0.026514589321211614
PDLIM1,0.019007613439512815
HSPA1A,0.036555648938630385
HSPA1B,0.04494124699926008
EGR1,-0.002536253321184633
NR4A1,0.0011609188988335154
CLIP3,0.010682574288233587
RAMP1,-0.004121826892263162
BIRC3,-0.002320930536508466
YAP1,0.005389666952257401
COX7A1,0.021238611259684518
GADD45G,0.006495356022672824
HOPX,-0.00623941977162585
RGS1,-0.018887275600134708
RGS16,0.007549583277112446
IL32,0.021186713543392386
LGALS2,-0.01021994073796502
APOC1,0.013191623856613674
APOE,0.011738161447662359
CAPG,0.034088107591430564
CTSD,0.020458297662228037
CTSZ,-0.047241292175472877
CCL18,0.0015865237768592966
PLA2G7,-0.00864027464206714
CD14,-0.011357400139053567
C1QC,-0.003957654273695579
C1QA,0.005355463591255426
C1QB,-0.0036354432640053973
CTSB,-0.0031539621652141832
CTSL,-0.01508391778066922
GZMB,0.015144176816455732
CXCL9,-0.012703032376144018
CCL5,0.012333417967194017
NKG7,0.012688503317538671
CD3D,0.010420653899184017
CD3E,0.013344894873128519
SLAMF7,-0.033338177269642846
CD2,-0.0015661214074921977
GZMA,0.0003511389680715083
CPVL,-0.004383840658903652
FCGR3A,-0.030630743824929047
FPR3,-0.018809965337082204
CD163,-0.0309405182350744
MRC1,-0.011486486457017109
TREM2,0.0036345802996078733
HMOX1,-0.02170020483142011
GPNMB,-0.01744254770309194
CYP27A1,0.008751929859296046
FOLR2,-0.02872930346056414
LGMN,-0.008779302070303576
BASP1,0.023672793666438034
EBF1,-0.0141434660373094
CCL21,-0.00217140016246702
RAMP3,-0.027859047431680904
ALOX5AP,-0.006391649309636869
HLA-DQA2,-0.030733206514161653
HLA-DQB2,-0.013356325215606426
